country,city,customer_name,payments_count,total_amount,rank_in_country,segment
Afghanistan,Kabul,Vera Mccoy,18,67.82,1,обычный
Algeria,Skikda,June Carroll,32,151.68,1,ключевой
Algeria,Batna,Mario Cheatham,27,107.73,2,постоянный
Algeria,Bchar,Judy Gray,23,89.77,3,обычный
American Samoa,Tafuna,Anthony Schwab,15,47.85,1,обычный
Angola,Benguela,Claude Herzog,20,93.80,1,обычный
Angola,Namibe,Martin Bales,25,93.75,2,обычный
Anguilla,South Hill,Bobby Boudreau,32,99.68,1,обычный
Argentina,Avellaneda,Jordan Archuleta,28,129.71,1,постоянный
Argentina,La Plata,Julia Flores,29,124.71,2,постоянный
Argentina,Quilmes,Perry Swafford,24,117.76,3,постоянный
Argentina,Merlo,Florence Woods,27,114.72,4,постоянный
Argentina,Santa F,Eric Robert,22,105.78,5,постоянный
Argentina,Tandil,Leonard Schofield,30,101.70,6,постоянный
Argentina,Vicente Lpez,Willie Howell,25,100.75,7,постоянный
Argentina,Escobar,Micheal Forman,24,96.76,8,обычный
Argentina,Almirante Brown,Willie Markham,22,85.78,9,обычный
Argentina,Crdoba,Kimberly Lee,23,85.77,10,обычный
Argentina,Baha Blanca,Jason Morrissey,19,81.81,11,обычный
Argentina,San Miguel de Tucumn,Lydia Burke,23,77.77,12,обычный
Argentina,Ezeiza,Darryl Ashcraft,22,75.78,13,обычный
Armenia,Yerevan,Stephanie Mitchell,25,118.75,1,постоянный
Austria,Salzburg,Nora Herrera,26,113.74,1,постоянный
Austria,Graz,Audrey Ray,27,111.73,2,постоянный
Austria,Linz,Jill Hawkins,17,58.83,3,обычный
Azerbaijan,Sumqayit,Raymond Mcwhorter,25,108.75,1,постоянный
Azerbaijan,Baku,Andrew Purdy,22,89.78,2,обычный
Bahrain,al-Manama,Seth Hannon,24,108.76,1,постоянный
Bangladesh,Tangail,Michelle Clark,32,146.68,1,постоянный
Bangladesh,Dhaka,Stephen Qualls,26,107.74,2,постоянный
Bangladesh,Jamalpur,Frank Waggoner,23,98.77,3,обычный
Belarus,Molodetno,Clara Shaw,40,189.60,1,ключевой
Belarus,Mogiljov,Cory Meehan,24,81.76,2,обычный
Bolivia,Sucre,Joel Francisco,22,92.78,1,обычный
Bolivia,El Alto,Jon Wiles,22,85.78,2,обычный
Brazil,Santa Brbara dOeste,Marion Snyder,39,194.61,1,ключевой
Brazil,Vila Velha,Debra Nelson,29,141.71,2,постоянный
Brazil,Belm,Nicholas Barfield,31,140.69,3,постоянный
Brazil,Juiz de Fora,Kent Arsenault,27,134.73,4,постоянный
Brazil,Boa Vista,Harold Martino,32,130.68,5,постоянный
Brazil,Blumenau,Terri Vasquez,27,126.73,6,постоянный
Brazil,Santo Andr,Justin Ngo,32,125.67,7,постоянный
Brazil,Goinia,Tina Simmons,26,122.74,8,постоянный
Brazil,Sorocaba,George Linton,29,113.71,9,постоянный
Brazil,Guaruj,Jesus Mccartney,23,107.77,10,постоянный
Brazil,Poos de Caldas,Maxine Silva,30,107.70,11,постоянный
Brazil,Po,Ellen Simpson,25,102.75,12,постоянный
Brazil,Vitria de Santo Anto,Jeremy Hurtado,25,98.75,13,обычный
Brazil,Rio Claro,Denise Kelly,26,96.74,14,обычный
Brazil,So Leopoldo,Francisco Skidmore,21,93.79,15,обычный
Brazil,Anpolis,Tamara Nguyen,25,93.75,16,обычный
Brazil,Juazeiro do Norte,Frances Parker,19,92.81,17,обычный
Brazil,So Bernardo do Campo,Cody Nolen,20,92.80,18,обычный
Brazil,Angra dos Reis,Joseph Joy,20,92.80,18,обычный
Brazil,Aparecida de Goinia,Natalie Meyer,21,90.78,20,обычный
Brazil,guas Lindas de Gois,Charlotte Hunter,22,87.78,21,обычный
Brazil,Araatuba,Jane Bennett,23,85.77,22,обычный
Brazil,Maring,Marian Mendoza,18,76.82,23,обычный
Brazil,Alvorada,Clayton Barbee,21,75.79,24,обычный
